,age,is_hereditary,height,is_smoker,stress,bald_prob
0,27.0,0.0,170.42854234879383,1.0,5.0,high
1,53.0,0.0,165.53009655972747,0.0,7.0,medium
2,37.0,0.0,154.5993882991208,0.0,4.0,medium
3,36.0,0.0,167.34048078061105,1.0,9.0,high
5,55.0,1.0,179.23514458380086,0.0,1.0,high
7,47.0,0.0,170.54093819801352,1.0,3.0,medium
10,34.0,1.0,151.0786468532541,0.0,2.0,medium
11,40.0,0.0,167.49209580907765,0.0,1.0,medium
12,41.0,0.0,152.09835131412126,1.0,4.0,high
13,26.0,1.0,175.79030635515412,1.0,1.0,high
14,45.0,1.0,167.85593561144924,1.0,3.0,high
15,21.0,0.0,151.94966730965015,1.0,5.0,high
16,33.0,0.0,165.9550757927586,1.0,7.0,medium
17,54.0,0.0,175.13292264233752,1.0,6.0,high
19,38.0,0.0,187.8178380647361,0.0,9.0,high
20,38.0,1.0,169.19265024053436,1.0,4.0,high
22,49.0,0.0,176.5756783218239,1.0,4.0,high
23,39.0,1.0,179.20138416017744,1.0,10.0,high
24,52.0,1.0,171.5881823233802,0.0,6.0,high
25,27.0,0.0,164.28481965960424,1.0,1.0,medium
26,29.0,1.0,162.8656814976341,0.0,9.0,high
27,45.0,1.0,174.30369183713347,1.0,1.0,high
28,25.0,1.0,166.76985015786246,1.0,7.0,high
29,24.0,0.0,163.1820246773474,0.0,5.0,medium
31,50.0,0.0,168.95774727485494,0.0,8.0,high
32,28.0,0.0,191.6440866801736,0.0,3.0,medium
34,42.0,1.0,161.2655352379778,0.0,4.0,high
35,34.0,0.0,164.93377288358306,0.0,6.0,medium
36,42.0,1.0,187.08276376582728,0.0,3.0,high
38,40.0,0.0,175.7560996244204,1.0,10.0,medium
39,54.0,0.0,160.8625655079013,1.0,3.0,high
41,40.0,1.0,151.51969054424302,0.0,1.0,medium
42,45.0,0.0,150.40776654472452,0.0,3.0,medium
44,44.0,1.0,148.74266835948146,0.0,6.0,high
46,43.0,0.0,163.25210042524475,0.0,7.0,medium
50,36.0,1.0,161.48198224048008,1.0,3.0,high
51,55.0,0.0,154.45918234752585,0.0,2.0,medium
52,26.0,1.0,167.76833280197292,1.0,7.0,high
53,47.0,0.0,158.1482231126776,1.0,10.0,high
54,55.0,0.0,176.21997851407093,0.0,1.0,high
55,19.0,0.0,151.19460734361508,1.0,1.0,medium
57,54.0,0.0,190.3795216477428,0.0,4.0,medium
58,39.0,0.0,161.4959414314836,1.0,8.0,high
59,43.0,1.0,176.59575117164383,1.0,2.0,high
60,47.0,0.0,163.02490517069964,0.0,4.0,medium
61,40.0,1.0,162.11519650213776,1.0,10.0,high
63,52.0,0.0,181.5435848294714,0.0,9.0,high
64,37.0,0.0,162.27672565571154,1.0,4.0,medium
65,49.0,0.0,180.10452197247903,0.0,1.0,medium
66,47.0,0.0,173.31315255784435,0.0,9.0,medium
67,42.0,0.0,180.93046012854128,0.0,1.0,medium
68,63.0,0.0,146.3904142455741,0.0,8.0,high
69,51.0,0.0,168.85129287317892,1.0,5.0,high
71,34.0,1.0,185.9828100154927,1.0,2.0,high
73,44.0,0.0,157.72910210756137,0.0,8.0,medium
75,54.0,1.0,188.36921047340104,0.0,10.0,high
78,39.0,0.0,170.56503212446,1.0,1.0,medium
80,37.0,0.0,162.9396356854993,0.0,3.0,low
81,35.0,0.0,170.44285801301885,0.0,7.0,medium
83,38.0,0.0,175.55616627755182,0.0,9.0,medium
84,34.0,0.0,149.49786833503893,1.0,6.0,high
85,62.0,0.0,166.64144120467557,0.0,3.0,medium
87,18.0,1.0,177.15976854816864,0.0,9.0,medium
89,35.0,0.0,165.34259516680993,0.0,8.0,medium
90,36.0,0.0,184.6290169302876,0.0,8.0,medium
92,29.0,0.0,159.78752144385132,0.0,8.0,medium
93,50.0,0.0,184.42460268958152,0.0,3.0,medium
94,23.0,1.0,174.7920296971184,0.0,4.0,medium
95,49.0,1.0,153.65274987036054,0.0,5.0,high
96,33.0,0.0,163.12997052254929,1.0,1.0,medium
97,50.0,0.0,154.92053050192553,0.0,5.0,high
99,43.0,0.0,178.30240074499198,1.0,10.0,high
100,35.0,1.0,177.56150837088606,1.0,5.0,high
101,22.0,0.0,170.43776892770595,0.0,7.0,medium
102,37.0,0.0,159.3793862869427,0.0,3.0,medium
103,58.0,0.0,175.608279021903,1.0,7.0,high
104,51.0,0.0,182.09091602313936,0.0,2.0,high
106,50.0,0.0,155.71838091610144,1.0,8.0,high
107,18.0,0.0,163.20163474465716,0.0,9.0,medium
108,26.0,0.0,174.06536428275146,1.0,4.0,medium
109,36.0,0.0,177.0805696298161,0.0,2.0,low
110,33.0,1.0,154.31610405387448,0.0,6.0,high
111,37.0,0.0,153.1518818196592,1.0,2.0,medium
115,37.0,0.0,167.2286561220899,1.0,6.0,high
117,36.0,1.0,170.01396101788805,0.0,4.0,high
119,32.0,0.0,170.80896024122916,0.0,4.0,medium
123,41.0,0.0,177.0092274380035,1.0,5.0,medium
124,49.0,0.0,149.12392962263982,0.0,8.0,high
125,36.0,0.0,142.3268561999927,0.0,7.0,medium
126,40.0,1.0,178.98352217802451,0.0,8.0,high
127,40.0,0.0,167.2431040571197,1.0,6.0,medium
129,53.0,0.0,168.7179478496621,0.0,1.0,high
130,56.0,0.0,165.62581550832633,1.0,4.0,medium
131,40.0,0.0,159.7845845463297,1.0,6.0,medium
132,33.0,1.0,166.2452379875402,1.0,4.0,high
133,39.0,1.0,155.89121061609978,1.0,6.0,high
134,31.0,0.0,168.06516655465418,0.0,6.0,medium
136,42.0,0.0,146.65121551871036,0.0,3.0,medium
138,38.0,0.0,165.1279064770591,0.0,1.0,medium
139,32.0,0.0,156.92874250171437,0.0,2.0,medium
140,51.0,1.0,153.2082724602433,1.0,1.0,high
142,40.0,0.0,167.6288480591048,1.0,10.0,high
143,25.0,0.0,175.8815050681009,0.0,8.0,medium
144,17.0,0.0,157.36639365640724,1.0,4.0,medium
145,23.0,0.0,182.3028653800092,0.0,4.0,medium
146,44.0,1.0,158.34336433118742,1.0,3.0,high
147,36.0,0.0,159.57776998082278,1.0,8.0,high
148,33.0,0.0,192.34774266726552,0.0,7.0,medium
149,25.0,0.0,159.31920114571236,0.0,2.0,medium
150,30.0,0.0,169.94691149268192,0.0,8.0,medium
152,32.0,0.0,182.0584636203684,1.0,1.0,medium
153,54.0,0.0,172.0048607021031,1.0,3.0,low
154,49.0,0.0,156.69860583675495,1.0,5.0,medium
155,41.0,0.0,167.265405109357,0.0,9.0,medium
156,53.0,0.0,170.3409485125275,0.0,3.0,medium
157,39.0,0.0,165.3519899788265,0.0,1.0,medium
158,30.0,0.0,182.36473148391667,1.0,4.0,medium
161,11.0,0.0,168.80102579150676,0.0,10.0,medium
162,35.0,0.0,194.4477731628223,1.0,4.0,medium
163,37.0,0.0,157.0517181454318,0.0,4.0,low
164,38.0,1.0,161.6056622559477,0.0,5.0,high
165,42.0,0.0,175.5822996340565,1.0,4.0,medium
166,37.0,0.0,153.57925849683082,0.0,7.0,medium
167,52.0,0.0,172.6379521750416,1.0,5.0,high
168,31.0,0.0,160.5897652765832,1.0,9.0,high
169,47.0,0.0,156.80974404916628,0.0,7.0,medium
170,46.0,0.0,165.5345788851532,0.0,2.0,medium
171,35.0,1.0,186.4952363633464,0.0,9.0,high
172,55.0,0.0,178.6295407944478,1.0,10.0,high
174,34.0,0.0,153.2317515295183,0.0,3.0,medium
177,48.0,0.0,166.3544705100445,1.0,3.0,high
180,48.0,1.0,159.1672038148358,1.0,2.0,high
181,27.0,1.0,177.0139558900293,0.0,8.0,high
185,31.0,1.0,170.06889343034496,0.0,2.0,medium
186,39.0,0.0,174.17590754721613,0.0,8.0,medium
187,47.0,0.0,173.69273538544104,0.0,3.0,medium
190,45.0,0.0,171.9972800952492,1.0,4.0,high
193,34.0,0.0,179.33419698760594,1.0,3.0,medium
194,29.0,0.0,178.45789243539411,0.0,5.0,medium
195,41.0,0.0,174.63888964666558,0.0,9.0,high
199,45.0,0.0,183.08125210238327,1.0,8.0,high
200,26.0,1.0,153.42762875594798,1.0,6.0,high
201,40.0,1.0,169.16281778973536,0.0,6.0,high
203,41.0,0.0,175.3591863749748,0.0,9.0,medium
204,50.0,0.0,163.24684086667244,0.0,3.0,medium
205,44.0,0.0,172.90219980409546,0.0,7.0,high
206,35.0,0.0,160.34361314745922,1.0,7.0,high
209,39.0,0.0,170.3805016027397,1.0,3.0,high
210,32.0,0.0,154.5788591996589,0.0,9.0,medium
211,51.0,0.0,167.23908207856263,1.0,6.0,high
212,48.0,0.0,182.2974913757813,0.0,3.0,medium
213,42.0,0.0,163.11068380032566,1.0,6.0,high
216,58.0,0.0,150.06997477688074,0.0,3.0,high
217,37.0,0.0,161.9658732202603,0.0,4.0,medium
218,39.0,0.0,156.72060399414815,1.0,2.0,medium
219,36.0,0.0,156.74354091694343,1.0,10.0,high
220,37.0,0.0,166.67465099628097,1.0,2.0,medium
221,28.0,0.0,154.00165509924963,0.0,7.0,medium
222,39.0,0.0,185.66966208147537,0.0,10.0,medium
224,40.0,0.0,184.5180819684928,1.0,4.0,medium
226,34.0,0.0,175.53927476297986,0.0,10.0,medium
227,35.0,0.0,150.86075619936972,1.0,6.0,medium
228,49.0,0.0,167.36123162496827,0.0,4.0,medium
229,42.0,0.0,174.372861099627,0.0,8.0,medium
230,38.0,0.0,175.707625170043,0.0,10.0,high
232,48.0,0.0,186.88064311211016,0.0,7.0,high
233,42.0,0.0,177.35899966665338,0.0,5.0,high
235,38.0,0.0,168.7022718614183,1.0,1.0,medium
236,39.0,0.0,153.8678118647608,0.0,10.0,medium
237,42.0,0.0,178.11460732023951,1.0,2.0,high
239,47.0,1.0,161.49677759577307,0.0,5.0,medium
240,24.0,0.0,179.77210828338758,1.0,4.0,medium
242,41.0,0.0,154.60807089004626,1.0,9.0,high
243,41.0,0.0,149.51095899253704,1.0,4.0,high
245,31.0,1.0,171.25792741753585,1.0,8.0,high
248,40.0,0.0,159.95541555805772,0.0,4.0,medium
249,53.0,0.0,150.37093140608008,0.0,6.0,high
250,48.0,0.0,184.24091445984607,0.0,4.0,medium
251,34.0,1.0,164.433612331003,1.0,4.0,high
253,31.0,0.0,158.6171009636783,0.0,8.0,high
254,30.0,0.0,160.11710530853424,0.0,7.0,medium
255,22.0,0.0,166.90440234823194,0.0,2.0,low
256,41.0,1.0,156.08681576940845,0.0,9.0,high
257,46.0,0.0,170.10952116884863,1.0,3.0,high
258,24.0,1.0,169.87552509041038,1.0,2.0,high
259,35.0,0.0,188.05755385998435,1.0,6.0,medium
260,40.0,1.0,143.71569760149256,1.0,9.0,high
261,43.0,0.0,192.8453942774968,1.0,6.0,high
262,33.0,1.0,174.03728754013048,0.0,10.0,high
263,47.0,0.0,164.45305494022173,0.0,4.0,medium
265,38.0,0.0,162.5658894336604,1.0,2.0,medium
267,40.0,0.0,179.78255705733392,0.0,1.0,low
268,28.0,0.0,145.18343819480512,0.0,4.0,medium
271,41.0,0.0,158.87429913563375,0.0,1.0,medium
272,36.0,0.0,162.90948294009334,0.0,8.0,high
273,61.0,1.0,156.3792376699287,1.0,10.0,high
274,27.0,0.0,161.66549228466167,1.0,2.0,medium
275,22.0,1.0,177.06821695939948,0.0,6.0,medium
279,40.0,0.0,155.54757612431763,1.0,5.0,medium
280,30.0,0.0,187.23126608612355,1.0,10.0,medium
281,36.0,0.0,173.88967966064,1.0,1.0,medium
282,35.0,1.0,163.91686361440935,0.0,8.0,high
284,37.0,0.0,148.13974590306896,0.0,7.0,medium
285,46.0,0.0,175.66362496483558,1.0,8.0,medium
286,55.0,0.0,157.8558635820055,0.0,2.0,medium
288,40.0,0.0,168.2950242459674,0.0,4.0,medium
290,28.0,0.0,157.17661643480506,0.0,4.0,medium
291,30.0,0.0,171.90019813785568,1.0,2.0,medium
292,46.0,0.0,141.21709641342454,1.0,2.0,high
293,46.0,0.0,171.0978032648856,0.0,5.0,high
294,51.0,1.0,154.26370873431802,1.0,2.0,high
296,41.0,0.0,160.86091105292016,0.0,3.0,medium
298,68.0,1.0,147.9217220277858,1.0,1.0,high
300,19.0,0.0,170.85101867409267,0.0,6.0,medium
301,41.0,0.0,168.17449160373133,1.0,8.0,high
302,41.0,0.0,160.4869623841301,1.0,8.0,high
303,50.0,1.0,152.8047708798029,1.0,1.0,medium
304,52.0,0.0,168.92032348994877,1.0,9.0,high
305,31.0,0.0,164.6396709432905,1.0,4.0,medium
307,38.0,0.0,159.30997576024546,0.0,8.0,medium
308,39.0,0.0,175.11043531965078,0.0,4.0,medium
309,28.0,0.0,154.03024317451508,1.0,4.0,high
311,30.0,0.0,185.2776558625892,0.0,9.0,medium
312,35.0,0.0,175.12342587502968,1.0,4.0,medium
313,44.0,1.0,158.25203637887492,0.0,7.0,high
314,56.0,0.0,158.019299129659,0.0,3.0,high
315,39.0,0.0,172.37947080484918,1.0,6.0,high
317,39.0,0.0,176.9019992372701,0.0,2.0,medium
318,21.0,0.0,181.4197744069802,0.0,3.0,medium
319,31.0,0.0,169.52588094393673,0.0,3.0,low
320,39.0,0.0,171.52590835468575,0.0,6.0,high
321,24.0,1.0,176.83340934856454,1.0,10.0,high
322,31.0,0.0,161.4326313530165,1.0,9.0,medium
323,46.0,1.0,159.96963424495877,0.0,1.0,high
324,29.0,0.0,179.61078924892047,0.0,9.0,medium
327,32.0,0.0,186.0208151648968,1.0,9.0,high
328,41.0,0.0,162.60531771405806,0.0,6.0,high
330,43.0,0.0,172.29182567634592,1.0,2.0,medium
331,45.0,0.0,177.59899647905533,0.0,3.0,medium
332,58.0,0.0,173.3713221010111,1.0,2.0,high
333,47.0,1.0,162.89013675274828,0.0,4.0,medium
334,38.0,0.0,163.78407820357205,0.0,2.0,medium
335,44.0,0.0,178.5927116084921,1.0,7.0,high
337,41.0,0.0,161.69156850722487,0.0,9.0,high
340,39.0,0.0,186.35815516906337,0.0,5.0,medium
341,31.0,0.0,154.6951155522911,1.0,7.0,medium
342,55.0,1.0,186.2248298890204,0.0,3.0,high
343,43.0,0.0,180.6375140619432,1.0,8.0,high
346,35.0,0.0,165.086207809568,0.0,9.0,medium
347,27.0,1.0,169.34778395931002,1.0,2.0,high
348,36.0,0.0,173.3184519049671,1.0,10.0,medium
349,55.0,0.0,168.82375998946134,0.0,9.0,high
350,35.0,0.0,171.3562770393327,1.0,4.0,medium
351,44.0,0.0,169.77862954455364,0.0,7.0,medium
352,45.0,0.0,147.5603355536234,1.0,1.0,high
353,36.0,0.0,171.1761013943273,1.0,4.0,medium
354,39.0,0.0,173.33542331371714,0.0,6.0,medium
355,40.0,0.0,160.40572505096296,0.0,7.0,medium
356,15.0,0.0,165.52848368720424,1.0,1.0,low
357,52.0,0.0,163.725062831298,1.0,4.0,medium
358,43.0,1.0,149.4254659462241,1.0,3.0,high
359,39.0,0.0,168.6578816191281,0.0,8.0,medium
360,57.0,0.0,169.56377602292474,0.0,3.0,medium
362,47.0,1.0,170.1916137092449,0.0,4.0,high
363,48.0,0.0,168.59705740268666,0.0,2.0,medium
365,46.0,1.0,153.6318458572717,1.0,1.0,high
366,46.0,0.0,181.94127071180168,0.0,9.0,high
367,45.0,0.0,152.03661761075276,1.0,1.0,medium
368,39.0,1.0,153.40196385230374,0.0,2.0,medium
369,41.0,0.0,173.88152252444183,1.0,10.0,high
370,41.0,0.0,158.56791929630376,1.0,2.0,medium
371,28.0,0.0,173.33885005524797,0.0,2.0,medium
372,29.0,1.0,157.92990458597237,0.0,5.0,high
373,28.0,0.0,155.51009035325407,1.0,6.0,medium
374,22.0,0.0,166.36756587543903,1.0,4.0,medium
375,51.0,0.0,160.57524105593197,0.0,8.0,high
376,43.0,0.0,173.69330075071878,0.0,7.0,medium
377,60.0,0.0,155.5716394695286,1.0,4.0,high
378,35.0,0.0,166.9650978387601,0.0,4.0,high
379,44.0,0.0,158.20798585949183,1.0,10.0,high
381,42.0,1.0,175.17266915522447,1.0,9.0,high
382,40.0,0.0,168.78361666867653,1.0,8.0,high
384,30.0,0.0,180.8248622302589,0.0,5.0,high
385,38.0,0.0,158.72152268853856,1.0,10.0,high
386,35.0,0.0,177.67913759513277,1.0,9.0,medium
387,47.0,1.0,167.16044624312852,0.0,5.0,high
389,50.0,0.0,155.8664213230789,0.0,3.0,medium
390,35.0,0.0,160.00060048108713,1.0,10.0,high
391,71.0,0.0,175.6044314863041,0.0,5.0,high
392,48.0,0.0,174.15348788059595,0.0,2.0,medium
394,44.0,0.0,177.3784488491356,1.0,6.0,medium
398,46.0,0.0,166.59022785663092,0.0,6.0,medium
400,35.0,0.0,156.43481805166715,0.0,7.0,medium
403,41.0,0.0,166.79895634403584,1.0,9.0,high
404,49.0,0.0,165.9887998980305,1.0,2.0,high
406,37.0,0.0,149.54992310813566,0.0,10.0,medium
407,26.0,0.0,144.28970863176175,1.0,7.0,high
408,44.0,1.0,168.0524857519214,1.0,4.0,high
409,50.0,0.0,167.71037016496507,1.0,6.0,high
415,65.0,0.0,175.3822411298151,0.0,2.0,high
416,35.0,0.0,160.49902430126855,0.0,5.0,medium
417,29.0,0.0,169.19193474898154,0.0,9.0,medium
418,38.0,1.0,167.04225585569716,0.0,9.0,high
419,43.0,0.0,174.30310002088868,1.0,9.0,high
421,56.0,0.0,172.75929786078697,1.0,3.0,high
422,45.0,0.0,176.92422490231667,1.0,2.0,high
423,40.0,1.0,174.18554851069007,0.0,6.0,medium
424,32.0,0.0,166.46418930244238,0.0,8.0,medium
425,55.0,0.0,151.00603666646106,1.0,6.0,high
426,20.0,0.0,156.73254931049297,1.0,4.0,medium
427,40.0,0.0,151.63031348485083,0.0,3.0,medium
428,34.0,0.0,165.08845966823577,0.0,8.0,medium
429,64.0,1.0,167.6209027841805,1.0,6.0,high
430,49.0,0.0,156.15604335680686,1.0,5.0,high
432,47.0,0.0,167.95233921754087,1.0,7.0,high
434,36.0,0.0,161.79066212665575,0.0,7.0,high
435,33.0,0.0,173.14505421196364,0.0,10.0,medium
436,7.0,0.0,157.43920272191517,0.0,6.0,medium
437,34.0,1.0,174.63803352000053,0.0,4.0,medium
438,40.0,0.0,191.92261588950973,0.0,8.0,medium
439,46.0,0.0,151.94623977751934,1.0,10.0,high
440,26.0,0.0,161.43927127794157,1.0,1.0,medium
441,23.0,0.0,151.48135316683877,0.0,8.0,medium
442,37.0,0.0,165.58520329588106,0.0,9.0,medium
443,32.0,0.0,158.8401585791196,1.0,10.0,high
444,50.0,1.0,161.85285817427967,0.0,1.0,high
445,50.0,0.0,156.49610595449724,1.0,9.0,high
446,35.0,0.0,168.82940223113997,0.0,8.0,medium
448,11.0,1.0,181.94006240101595,0.0,4.0,high
449,37.0,1.0,164.89286364335658,0.0,2.0,medium
450,19.0,0.0,183.16413351563293,1.0,7.0,medium
451,67.0,1.0,155.53528275727132,1.0,9.0,high
452,38.0,0.0,170.35342706058032,0.0,10.0,medium
453,36.0,1.0,155.2120611976831,1.0,1.0,high
454,31.0,0.0,154.03599752255136,1.0,5.0,high
456,28.0,1.0,201.11251144818044,0.0,3.0,high
458,40.0,1.0,159.4603849454681,0.0,3.0,high
460,29.0,1.0,169.78397418462677,1.0,5.0,high
461,39.0,0.0,177.90871731835267,0.0,4.0,medium
462,36.0,0.0,180.665004021406,0.0,2.0,medium
463,46.0,0.0,165.98598367013668,0.0,6.0,medium
465,20.0,0.0,170.384787436414,1.0,6.0,medium
466,49.0,1.0,149.5479025632416,0.0,5.0,high
467,48.0,0.0,175.30029300508545,0.0,8.0,medium
468,38.0,1.0,176.23362801076328,0.0,6.0,high
470,34.0,0.0,161.4789859874385,0.0,1.0,medium
471,30.0,0.0,168.68403667853795,0.0,5.0,medium
472,26.0,0.0,176.81428267812777,0.0,6.0,medium
473,49.0,1.0,176.38362762406467,0.0,8.0,high
474,44.0,0.0,174.508117657406,1.0,1.0,high
475,51.0,0.0,172.18889059750217,1.0,4.0,high
476,34.0,0.0,162.86836300030456,0.0,4.0,medium
477,34.0,0.0,173.75984603920733,1.0,10.0,high
478,40.0,1.0,151.82565741371673,1.0,4.0,medium
480,27.0,0.0,151.00557311305352,1.0,2.0,medium
483,35.0,0.0,164.3825673507355,1.0,5.0,medium
484,28.0,0.0,172.52470093443213,0.0,3.0,low
487,52.0,1.0,163.52057739862516,0.0,2.0,high
488,21.0,1.0,160.55701299586627,0.0,7.0,medium
490,52.0,0.0,164.01648874858563,1.0,7.0,high
492,46.0,0.0,169.33646164036742,1.0,6.0,medium
495,38.0,0.0,167.79894933271268,1.0,2.0,medium
496,32.0,0.0,180.10145678596135,1.0,2.0,low
497,36.0,0.0,163.25157409532417,0.0,1.0,medium
498,57.0,0.0,169.7107306600021,0.0,6.0,medium
499,53.0,0.0,174.066274850147,0.0,2.0,high
500,51.0,0.0,171.3351149340588,0.0,7.0,high
501,41.0,0.0,178.57899839382534,1.0,1.0,medium
504,27.0,0.0,176.51654427050818,0.0,3.0,medium
505,49.0,0.0,168.64431160843367,1.0,2.0,medium
508,35.0,0.0,175.08164017005342,1.0,6.0,medium
511,39.0,0.0,173.58620403681593,1.0,2.0,medium
512,56.0,0.0,156.81571977598674,0.0,8.0,high
513,51.0,1.0,179.34179825838575,1.0,3.0,high
516,28.0,0.0,169.9587420417014,1.0,9.0,high
517,33.0,0.0,170.066406694774,1.0,3.0,medium
519,35.0,0.0,175.37425010180587,0.0,3.0,medium
520,37.0,0.0,169.85441162233184,0.0,7.0,medium
521,52.0,1.0,172.5397129141964,1.0,4.0,high
522,51.0,0.0,169.76492244137688,1.0,9.0,high
524,46.0,0.0,172.07297522144577,1.0,10.0,medium
525,60.0,0.0,164.03144356494963,0.0,1.0,medium
528,39.0,1.0,170.24689468195427,0.0,1.0,medium
529,42.0,1.0,152.56258915142675,1.0,4.0,high
531,37.0,0.0,147.28199585277957,0.0,2.0,medium
532,41.0,0.0,168.8453044517111,0.0,1.0,medium
535,34.0,0.0,175.15726544980456,0.0,8.0,medium
536,36.0,0.0,181.4527979527432,1.0,6.0,medium
537,22.0,0.0,159.93355248036758,0.0,5.0,low
538,35.0,1.0,152.87614964967335,1.0,9.0,high
539,29.0,1.0,141.0651607320027,1.0,8.0,high
543,50.0,0.0,177.1131283617163,0.0,3.0,medium
545,31.0,0.0,175.98447655699687,0.0,5.0,medium
546,34.0,1.0,166.49532498286737,1.0,3.0,high
547,40.0,0.0,178.0803359824814,1.0,8.0,high
548,52.0,0.0,167.59082332625206,1.0,2.0,high
549,41.0,0.0,157.64111222932013,0.0,3.0,medium
550,23.0,0.0,157.0154997522381,0.0,9.0,medium
553,34.0,0.0,153.84288992287495,0.0,6.0,high
554,27.0,1.0,162.80888324505725,1.0,6.0,high
555,34.0,0.0,181.5626311932634,1.0,7.0,high
556,57.0,0.0,179.4297366624055,0.0,7.0,high
557,43.0,0.0,177.62803442022607,1.0,10.0,high
561,30.0,0.0,170.8151561584505,1.0,1.0,medium
562,35.0,0.0,166.94588059555934,0.0,9.0,medium
563,24.0,0.0,173.7955234132252,0.0,10.0,high
564,31.0,0.0,172.1791165841125,1.0,6.0,medium
565,36.0,0.0,145.3882068629407,1.0,6.0,medium
566,41.0,0.0,162.3595201004094,1.0,4.0,high
567,27.0,0.0,142.23514398547104,0.0,8.0,low
568,47.0,0.0,162.21373172184855,0.0,5.0,medium
569,23.0,0.0,167.98824780554003,0.0,6.0,medium
570,35.0,0.0,161.7374829106597,0.0,1.0,medium
571,30.0,0.0,142.96019794440107,0.0,3.0,medium
572,55.0,0.0,155.64403988295606,0.0,8.0,high
573,69.0,0.0,179.37854461571055,1.0,7.0,high
574,48.0,0.0,171.2993509230748,0.0,10.0,medium
575,59.0,1.0,153.05074370081763,1.0,3.0,high
576,26.0,0.0,176.421378310472,1.0,6.0,medium
577,29.0,0.0,187.036691705826,1.0,1.0,medium
579,20.0,1.0,159.3930914427517,1.0,4.0,high
580,28.0,0.0,166.49660944718192,0.0,8.0,medium
581,49.0,1.0,175.4656686029075,0.0,6.0,medium
582,47.0,1.0,161.7341104772656,1.0,7.0,high
583,22.0,0.0,196.0737690779352,0.0,6.0,medium
584,41.0,1.0,158.63985672964282,1.0,7.0,high
585,38.0,0.0,162.6182038124549,0.0,4.0,medium
586,31.0,1.0,166.25763560641508,1.0,7.0,high
587,38.0,1.0,170.34324532150967,0.0,9.0,medium
588,33.0,0.0,175.27776700634504,1.0,4.0,medium
589,31.0,0.0,166.2987494639154,0.0,6.0,medium
590,54.0,1.0,159.9676821070531,1.0,1.0,high
592,40.0,0.0,174.12913527584803,1.0,8.0,high
593,45.0,0.0,165.712805859042,1.0,6.0,medium
594,45.0,1.0,167.35527071921538,0.0,9.0,high
595,32.0,0.0,154.8912397578933,1.0,2.0,medium
598,45.0,0.0,161.6065041080758,0.0,2.0,medium
601,62.0,0.0,140.75471345768787,0.0,8.0,medium
603,41.0,0.0,150.60715448268323,1.0,7.0,high
604,42.0,0.0,180.8413230758376,1.0,10.0,high
606,35.0,1.0,160.10097684120183,1.0,10.0,high
608,19.0,1.0,161.77888867000485,1.0,10.0,high
612,43.0,0.0,165.60856535831022,1.0,5.0,high
613,27.0,1.0,175.65518338234762,1.0,5.0,high
615,39.0,0.0,174.335229767628,0.0,1.0,medium
616,27.0,0.0,158.08260687473543,0.0,10.0,high
617,44.0,1.0,185.7620087147703,0.0,8.0,high
619,27.0,0.0,163.92532190320256,0.0,10.0,high
620,50.0,0.0,162.830121096041,1.0,5.0,high
621,40.0,0.0,159.5712571004978,1.0,1.0,medium
622,50.0,0.0,166.23416872379835,1.0,1.0,high
623,35.0,0.0,171.62003378515072,0.0,1.0,medium
624,37.0,0.0,170.93553029420062,0.0,2.0,low
625,40.0,0.0,188.28460634788445,1.0,7.0,medium
