,age,gender,is_hereditary,is_smoker,stress,bald_prob
0,27.0,0,0.0,1.0,5.0,high
1,53.0,0,0.0,0.0,7.0,medium
2,37.0,0,0.0,0.0,4.0,medium
3,36.0,0,0.0,1.0,9.0,high
5,55.0,0,1.0,0.0,1.0,high
7,47.0,1,0.0,1.0,3.0,medium
10,34.0,1,1.0,0.0,2.0,medium
11,40.0,1,0.0,0.0,1.0,medium
12,41.0,1,0.0,1.0,4.0,high
13,26.0,1,1.0,1.0,1.0,high
14,45.0,1,1.0,1.0,3.0,high
15,21.0,1,0.0,1.0,5.0,high
16,33.0,1,0.0,1.0,7.0,medium
17,54.0,1,0.0,1.0,6.0,high
19,38.0,1,0.0,0.0,9.0,high
20,38.0,0,1.0,1.0,4.0,high
22,49.0,1,0.0,1.0,4.0,high
23,39.0,1,1.0,1.0,10.0,high
24,52.0,1,1.0,0.0,6.0,high
25,27.0,1,0.0,1.0,1.0,medium
26,29.0,1,1.0,0.0,9.0,high
27,45.0,1,1.0,1.0,1.0,high
28,25.0,0,1.0,1.0,7.0,high
29,24.0,1,0.0,0.0,5.0,medium
31,50.0,1,0.0,0.0,8.0,high
32,28.0,1,0.0,0.0,3.0,medium
34,42.0,1,1.0,0.0,4.0,high
35,34.0,0,0.0,0.0,6.0,medium
36,42.0,1,1.0,0.0,3.0,high
38,40.0,0,0.0,1.0,10.0,medium
39,54.0,1,0.0,1.0,3.0,high
41,40.0,0,1.0,0.0,1.0,medium
42,45.0,0,0.0,0.0,3.0,medium
44,44.0,1,1.0,0.0,6.0,high
46,43.0,0,0.0,0.0,7.0,medium
50,36.0,1,1.0,1.0,3.0,high
51,55.0,1,0.0,0.0,2.0,medium
52,26.0,0,1.0,1.0,7.0,high
53,47.0,1,0.0,1.0,10.0,high
54,55.0,1,0.0,0.0,1.0,high
55,19.0,1,0.0,1.0,1.0,medium
57,54.0,1,0.0,0.0,4.0,medium
58,39.0,1,0.0,1.0,8.0,high
59,43.0,0,1.0,1.0,2.0,high
60,47.0,1,0.0,0.0,4.0,medium
61,40.0,1,1.0,1.0,10.0,high
63,52.0,1,0.0,0.0,9.0,high
64,37.0,1,0.0,1.0,4.0,medium
65,49.0,1,0.0,0.0,1.0,medium
66,47.0,1,0.0,0.0,9.0,medium
67,42.0,0,0.0,0.0,1.0,medium
68,63.0,1,0.0,0.0,8.0,high
69,51.0,1,0.0,1.0,5.0,high
71,34.0,0,1.0,1.0,2.0,high
73,44.0,0,0.0,0.0,8.0,medium
75,54.0,1,1.0,0.0,10.0,high
78,39.0,0,0.0,1.0,1.0,medium
80,37.0,0,0.0,0.0,3.0,low
81,35.0,1,0.0,0.0,7.0,medium
83,38.0,1,0.0,0.0,9.0,medium
84,34.0,1,0.0,1.0,6.0,high
85,62.0,1,0.0,0.0,3.0,medium
87,18.0,1,1.0,0.0,9.0,medium
89,35.0,1,0.0,0.0,8.0,medium
90,36.0,0,0.0,0.0,8.0,medium
92,29.0,0,0.0,0.0,8.0,medium
93,50.0,1,0.0,0.0,3.0,medium
94,23.0,1,1.0,0.0,4.0,medium
95,49.0,1,1.0,0.0,5.0,high
96,33.0,0,0.0,1.0,1.0,medium
97,50.0,1,0.0,0.0,5.0,high
99,43.0,1,0.0,1.0,10.0,high
100,35.0,0,1.0,1.0,5.0,high
101,22.0,0,0.0,0.0,7.0,medium
102,37.0,1,0.0,0.0,3.0,medium
103,58.0,1,0.0,1.0,7.0,high
104,51.0,1,0.0,0.0,2.0,high
106,50.0,0,0.0,1.0,8.0,high
107,18.0,1,0.0,0.0,9.0,medium
108,26.0,1,0.0,1.0,4.0,medium
109,36.0,0,0.0,0.0,2.0,low
110,33.0,1,1.0,0.0,6.0,high
111,37.0,1,0.0,1.0,2.0,medium
115,37.0,1,0.0,1.0,6.0,high
117,36.0,0,1.0,0.0,4.0,high
119,32.0,0,0.0,0.0,4.0,medium
123,41.0,0,0.0,1.0,5.0,medium
124,49.0,1,0.0,0.0,8.0,high
125,36.0,1,0.0,0.0,7.0,medium
126,40.0,1,1.0,0.0,8.0,high
127,40.0,1,0.0,1.0,6.0,medium
129,53.0,1,0.0,0.0,1.0,high
130,56.0,0,0.0,1.0,4.0,medium
131,40.0,1,0.0,1.0,6.0,medium
132,33.0,1,1.0,1.0,4.0,high
133,39.0,1,1.0,1.0,6.0,high
134,31.0,0,0.0,0.0,6.0,medium
136,42.0,1,0.0,0.0,3.0,medium
138,38.0,1,0.0,0.0,1.0,medium
139,32.0,1,0.0,0.0,2.0,medium
140,51.0,1,1.0,1.0,1.0,high
142,40.0,1,0.0,1.0,10.0,high
143,25.0,0,0.0,0.0,8.0,medium
144,17.0,1,0.0,1.0,4.0,medium
145,23.0,1,0.0,0.0,4.0,medium
146,44.0,0,1.0,1.0,3.0,high
147,36.0,1,0.0,1.0,8.0,high
148,33.0,1,0.0,0.0,7.0,medium
149,25.0,1,0.0,0.0,2.0,medium
150,30.0,0,0.0,0.0,8.0,medium
152,32.0,1,0.0,1.0,1.0,medium
153,54.0,1,0.0,1.0,3.0,low
154,49.0,1,0.0,1.0,5.0,medium
155,41.0,0,0.0,0.0,9.0,medium
156,53.0,1,0.0,0.0,3.0,medium
157,39.0,1,0.0,0.0,1.0,medium
158,30.0,1,0.0,1.0,4.0,medium
161,11.0,0,0.0,0.0,10.0,medium
162,35.0,0,0.0,1.0,4.0,medium
163,37.0,0,0.0,0.0,4.0,low
164,38.0,1,1.0,0.0,5.0,high
165,42.0,0,0.0,1.0,4.0,medium
166,37.0,1,0.0,0.0,7.0,medium
167,52.0,1,0.0,1.0,5.0,high
168,31.0,1,0.0,1.0,9.0,high
169,47.0,1,0.0,0.0,7.0,medium
170,46.0,1,0.0,0.0,2.0,medium
171,35.0,0,1.0,0.0,9.0,high
172,55.0,0,0.0,1.0,10.0,high
174,34.0,1,0.0,0.0,3.0,medium
177,48.0,1,0.0,1.0,3.0,high
180,48.0,0,1.0,1.0,2.0,high
181,27.0,1,1.0,0.0,8.0,high
185,31.0,1,1.0,0.0,2.0,medium
186,39.0,1,0.0,0.0,8.0,medium
187,47.0,1,0.0,0.0,3.0,medium
190,45.0,1,0.0,1.0,4.0,high
193,34.0,1,0.0,1.0,3.0,medium
194,29.0,1,0.0,0.0,5.0,medium
195,41.0,1,0.0,0.0,9.0,high
199,45.0,1,0.0,1.0,8.0,high
200,26.0,1,1.0,1.0,6.0,high
201,40.0,1,1.0,0.0,6.0,high
203,41.0,0,0.0,0.0,9.0,medium
204,50.0,0,0.0,0.0,3.0,medium
205,44.0,1,0.0,0.0,7.0,high
206,35.0,1,0.0,1.0,7.0,high
209,39.0,1,0.0,1.0,3.0,high
210,32.0,1,0.0,0.0,9.0,medium
211,51.0,0,0.0,1.0,6.0,high
212,48.0,1,0.0,0.0,3.0,medium
213,42.0,0,0.0,1.0,6.0,high
216,58.0,1,0.0,0.0,3.0,high
217,37.0,1,0.0,0.0,4.0,medium
218,39.0,1,0.0,1.0,2.0,medium
219,36.0,1,0.0,1.0,10.0,high
220,37.0,1,0.0,1.0,2.0,medium
221,28.0,1,0.0,0.0,7.0,medium
222,39.0,1,0.0,0.0,10.0,medium
224,40.0,0,0.0,1.0,4.0,medium
226,34.0,1,0.0,0.0,10.0,medium
227,35.0,1,0.0,1.0,6.0,medium
228,49.0,0,0.0,0.0,4.0,medium
229,42.0,1,0.0,0.0,8.0,medium
230,38.0,1,0.0,0.0,10.0,high
232,48.0,1,0.0,0.0,7.0,high
233,42.0,1,0.0,0.0,5.0,high
235,38.0,1,0.0,1.0,1.0,medium
236,39.0,1,0.0,0.0,10.0,medium
237,42.0,1,0.0,1.0,2.0,high
239,47.0,0,1.0,0.0,5.0,medium
240,24.0,1,0.0,1.0,4.0,medium
242,41.0,1,0.0,1.0,9.0,high
243,41.0,1,0.0,1.0,4.0,high
245,31.0,1,1.0,1.0,8.0,high
248,40.0,1,0.0,0.0,4.0,medium
249,53.0,1,0.0,0.0,6.0,high
250,48.0,1,0.0,0.0,4.0,medium
251,34.0,1,1.0,1.0,4.0,high
253,31.0,0,0.0,0.0,8.0,high
254,30.0,1,0.0,0.0,7.0,medium
255,22.0,0,0.0,0.0,2.0,low
256,41.0,0,1.0,0.0,9.0,high
257,46.0,1,0.0,1.0,3.0,high
258,24.0,0,1.0,1.0,2.0,high
259,35.0,1,0.0,1.0,6.0,medium
260,40.0,0,1.0,1.0,9.0,high
261,43.0,1,0.0,1.0,6.0,high
262,33.0,1,1.0,0.0,10.0,high
263,47.0,1,0.0,0.0,4.0,medium
265,38.0,1,0.0,1.0,2.0,medium
267,40.0,1,0.0,0.0,1.0,low
268,28.0,1,0.0,0.0,4.0,medium
271,41.0,1,0.0,0.0,1.0,medium
272,36.0,1,0.0,0.0,8.0,high
273,61.0,1,1.0,1.0,10.0,high
274,27.0,0,0.0,1.0,2.0,medium
275,22.0,0,1.0,0.0,6.0,medium
279,40.0,0,0.0,1.0,5.0,medium
280,30.0,0,0.0,1.0,10.0,medium
281,36.0,1,0.0,1.0,1.0,medium
282,35.0,1,1.0,0.0,8.0,high
284,37.0,1,0.0,0.0,7.0,medium
285,46.0,0,0.0,1.0,8.0,medium
286,55.0,1,0.0,0.0,2.0,medium
288,40.0,1,0.0,0.0,4.0,medium
290,28.0,0,0.0,0.0,4.0,medium
291,30.0,1,0.0,1.0,2.0,medium
292,46.0,1,0.0,1.0,2.0,high
293,46.0,1,0.0,0.0,5.0,high
294,51.0,1,1.0,1.0,2.0,high
296,41.0,0,0.0,0.0,3.0,medium
298,68.0,1,1.0,1.0,1.0,high
300,19.0,0,0.0,0.0,6.0,medium
301,41.0,0,0.0,1.0,8.0,high
302,41.0,1,0.0,1.0,8.0,high
303,50.0,0,1.0,1.0,1.0,medium
304,52.0,1,0.0,1.0,9.0,high
305,31.0,0,0.0,1.0,4.0,medium
307,38.0,1,0.0,0.0,8.0,medium
308,39.0,1,0.0,0.0,4.0,medium
309,28.0,1,0.0,1.0,4.0,high
